state,Female_Victims,Male_Victims,Asian_Victims,Black_Victims,Hispanic_Victims,NativeAmerican_Victims,Other_Victims,White_Victims,Total_Shooting_Victims,Male_Population,Female_Population,Asian_Population,Black_Population,Hispanic_Population,NativeAmerican_Population,Other_Population,White_Population,Total_Population
IN,0.02586206896551724,0.9741379310344828,0.0,0.28448275862068967,0.04310344827586207,0.0,0.034482758620689655,0.6379310344827587,116.0,0.49,0.51,0.0202731294158259,0.09674998911823521,0.06627824490687784,0.004064356337423635,0.0006977378531200843,0.8119365423685174,6524608.031
KS,0.05357142857142857,0.9464285714285714,0.0,0.125,0.16071428571428573,0.017857142857142856,0.017857142857142856,0.6785714285714286,56.0,0.49,0.51,0.02845803476694694,0.06362761498058311,0.115281937454351,0.012065468407884748,0.0009877556702436886,0.7795791887199907,2859326.537
KY,0.036036036036036036,0.963963963963964,0.009009009009009009,0.14414414414414414,0.02702702702702703,0.009009009009009009,0.07207207207207207,0.7387387387387387,111.0,0.49,0.51,0.013885338161496147,0.08334117025009363,0.03422613671196436,0.0028076745627501508,0.000848386186288173,0.8648912941274075,4356294.409
LA,0.016,0.984,0.016,0.552,0.016,0.0,0.048,0.368,125.0,0.481,0.519,0.01797482766161319,0.32724391172852035,0.04877861103994122,0.007666381011327557,0.0007061908767673808,0.5976300776818304,4616961.373
MA,0.0,1.0,0.0,0.2,0.2,0.0,0.075,0.525,40.0,0.486,0.514,0.06302187552003548,0.08258363771489098,0.1079706385156677,0.004897413971188374,0.001056610218374457,0.740469824059843,6765974.695
MD,0.044444444444444446,0.9555555555555556,0.011111111111111112,0.6,0.044444444444444446,0.0,0.011111111111111112,0.3333333333333333,90.0,0.48,0.52,0.06405236147607288,0.3051029019376242,0.09402032186563043,0.005490283976109147,0.001127579746924761,0.5302065509976386,5929095.497
ME,0.04,0.96,0.0,0.04,0.04,0.0,0.12,0.8,25.0,0.484,0.516,0.012116631665943312,0.014404998554101288,0.015360472568221208,0.006809474507590212,0.00012641240555711302,0.9511820102985868,1311073.856
MI,0.020833333333333332,0.9791666666666666,0.010416666666666666,0.3125,0.020833333333333332,0.0,0.09375,0.5625,96.0,0.49,0.51,0.0290572596523908,0.14444744056419498,0.04891851519912398,0.007296989746155325,0.00027324241806697404,0.7700065524200679,9757379.615
MN,0.0273972602739726,0.9726027397260274,0.0410958904109589,0.1780821917808219,0.0410958904109589,0.0684931506849315,0.0547945205479452,0.6164383561643836,73.0,0.496,0.504,0.04790902852939104,0.059490425563477396,0.0514578386767283,0.013479655812943376,0.0007512315515193841,0.8269118198659405,5374679.74
MO,0.06451612903225806,0.9354838709677419,0.0064516129032258064,0.3548387096774194,0.01935483870967742,0.0,0.11612903225806452,0.5032258064516129,155.0,0.487,0.513,0.01945430786823378,0.11974425583836606,0.04015392511993741,0.0054450048232024895,0.001394353337732963,0.8138081530125272,5969910.047
MS,0.02666666666666667,0.9733333333333334,0.013333333333333334,0.3466666666666667,0.013333333333333334,0.0,0.06666666666666667,0.56,75.0,0.475,0.525,0.010246383606363735,0.3773567179948455,0.029836514738615365,0.005803596282816343,0.000547433987286343,0.5762093533900727,2975562.42
MT,0.02631578947368421,0.9736842105263158,0.0,0.0,0.0,0.13157894736842105,0.02631578947368421,0.8421052631578947,38.0,0.499,0.501,0.00821103098124028,0.006129672699121482,0.03514110982211014,0.06677486830055131,0.0008834373667621944,0.8828598808302147,1005260.852
NC,0.03409090909090909,0.9659090909090909,0.005681818181818182,0.3181818181818182,0.045454545454545456,0.0,0.05113636363636364,0.5795454545454546,176.0,0.48,0.52,0.027089350727165815,0.22185913743342722,0.0903778974586975,0.015611474101487442,0.0012346293573781454,0.6438275109218439,9899822.912
ND,0.0,1.0,0.0,0.0,0.0,0.5384615384615384,0.0,0.46153846153846156,13.0,0.505,0.495,0.012899445554831357,0.02141246127380647,0.0320969258859918,0.05513270823170254,0.0008394961635211272,0.8776189628901466,729784.157
NE,0.07142857142857142,0.9285714285714286,0.0,0.21428571428571427,0.10714285714285714,0.03571428571428571,0.0,0.6428571428571429,28.0,0.497,0.503,0.02216396562954027,0.049485575697987325,0.10265309938226173,0.013740735957389455,0.0012036299827133583,0.8107529933501079,1867712.696
NH,0.0,1.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.8823529411764706,17.0,0.494,0.506,0.025655534539428565,0.014967322027496866,0.033343537183997025,0.0029528613571556755,0.00040438335349009236,0.9226763615384316,1312586.1770000001
NJ,0.0273972602739726,0.9726027397260274,0.0136986301369863,0.4657534246575342,0.1095890410958904,0.0,0.1095890410958904,0.3013698630136986,73.0,0.487,0.513,0.09338925761178184,0.1461825298541524,0.19124144624627779,0.005878490843984662,0.0010170293753002052,0.562291246068503,9038117.505
NM,0.05,0.95,0.0,0.016666666666666666,0.625,0.016666666666666666,0.10833333333333334,0.23333333333333334,120.0,0.488,0.512,0.016329881094923802,0.024901221939705575,0.4704393867160756,0.10270574230296692,0.0018198760082143786,0.38380389193811376,2113871.485
NV,0.02830188679245283,0.9716981132075472,0.02830188679245283,0.16037735849056603,0.29245283018867924,0.009433962264150943,0.07547169811320754,0.4339622641509434,106.0,0.497,0.503,0.08393986454694155,0.091650975341262,0.28071803312033816,0.016562891182647768,0.007333413136467754,0.519794822672343,2812863.6169999996
NY,0.03508771929824561,0.9649122807017544,0.008771929824561403,0.45614035087719296,0.09649122807017543,0.0,0.07894736842105263,0.35964912280701755,114.0,0.484,0.516,0.08308166248125506,0.17227801641040827,0.18162109300976098,0.009356860924052952,0.0012113251605724604,0.5524510420139502,20206285.477
OH,0.03389830508474576,0.9661016949152542,0.011299435028248588,0.384180790960452,0.011299435028248588,0.0,0.062146892655367235,0.5310734463276836,177.0,0.489,0.511,0.020493381587308433,0.12814227530095343,0.035272633775906344,0.002749627558930473,0.00035728176235702856,0.8129848000145443,11424252.313000001
OK,0.021739130434782608,0.9782608695652174,0.016304347826086956,0.1956521739130435,0.05434782608695652,0.05434782608695652,0.059782608695652176,0.6195652173913043,184.0,0.49,0.51,0.021876538208240752,0.08054607911594577,0.10248128937857341,0.09440512358870995,0.0016633952383593924,0.6990275744701707,3717954.012
OR,0.030303030303030304,0.9696969696969697,0.0,0.0707070707070707,0.08080808080808081,0.0,0.1111111111111111,0.7373737373737373,99.0,0.492,0.508,0.04353137564664685,0.02071548089279244,0.1276717382024073,0.018163864712547443,0.004258118817910859,0.7856594217276952,3892402.422
PA,0.024,0.976,0.008,0.368,0.072,0.0,0.12,0.432,125.0,0.487,0.513,0.03272848069115988,0.11647433476313969,0.06576720390918474,0.003499016235290409,0.0005675677158824365,0.7809633966853429,12751359.525
RI,0.0,1.0,0.0,0.5,0.25,0.0,0.0,0.25,4.0,0.489,0.511,0.03473481150105264,0.07600242426386963,0.1394267831863873,0.00929824266920355,0.0014204263772011221,0.7391173120022859,1064070.6369999999
SC,0.05263157894736842,0.9473684210526315,0.010526315789473684,0.29473684210526313,0.021052631578947368,0.0,0.042105263157894736,0.631578947368421,95.0,0.477,0.523,0.015360456105864496,0.2799152678571204,0.05468685724621426,0.005383465701496814,0.001039359209391085,0.6436145938799132,4794373.259
